,date,market,name,fullName,code,fullCode,bubinCode
1424,2022-06-24,KOSDAQ,에이루트,(주)에이루트,A096690,KR7096690003,1341110095394
1425,2022-06-24,KOSPI,JW홀딩스,JW홀딩스(주),A096760,KR7096760004,1101113710468
1426,2022-06-24,KOSPI,SK이노베이션,SK이노베이션(주),A096770,KR7096770003,1101113710385
1427,2022-06-24,KOSDAQ,엘디티,(주)엘디티,A096870,KR7096870001,1501110031257
1428,2022-06-24,KOSPI,HJ중공업,(주)에이치제이중공업,A097230,KR7097230007,1801110602507
1429,2022-06-24,KOSPI,엠씨넥스,(주)엠씨넥스,A097520,KR7097520001,1101113136383
1430,2022-06-24,KOSDAQ,에스맥,에스맥(주),A097780,KR7097780001,1358110109364
1431,2022-06-24,KOSDAQ,윈팩,(주)윈팩,A097800,KR7097800007,1344110020543
1432,2022-06-24,KOSDAQ,효성오앤비,효성오앤비(주),A097870,KR7097870000,1648110001094
1433,2022-06-24,KOSPI,CJ제일제당,CJ제일제당(주),A097950,KR7097950000,1101113748253
1434,2022-06-24,KOSDAQ,마이크로컨텍솔,(주)마이크로컨텍솔루션,A098120,KR7098120009,1845110022448
1435,2022-06-24,KOSDAQ,고영,(주)고영테크놀러지,A098460,KR7098460009,1101112508088
1436,2022-06-24,KOSDAQ,에스티오,㈜에스티오,A098660,KR7098660004,1101112722761
1437,2022-06-24,KOSDAQ,아이센스,(주)아이센스,A099190,KR7099190001,1101111960924
1438,2022-06-24,KOSDAQ,SDN,에스디엔(주),A099220,KR7099220006,1101111020299
1439,2022-06-24,KOSDAQ,쎄트렉아이,주식회사쎄트렉아이,A099320,KR7099320004,1601110091283
1440,2022-06-24,KOSDAQ,브레인즈컴퍼니,브레인즈컴퍼니(주),A099390,KR7099390007,1101111909865
1441,2022-06-24,KOSDAQ,동방선기,(주)동방선기,A099410,KR7099410003,1941110002884
1442,2022-06-24,KOSDAQ,바이오플러스,바이오플러스 주식회사,A099430,KR7099430001,1101112785355
1443,2022-06-24,KOSDAQ,스맥,(주) 스맥,A099440,KR7099440000,1601110052665
1444,2022-06-24,KOSDAQ,ITX-AI,(주)아이티엑스에이아이,A099520,KR7099520009,1101111517709
1445,2022-06-24,KOSDAQ,이지케어텍,이지케어텍(주),A099750,KR7099750002,1101112165838
1446,2022-06-24,KOSDAQ,모바일리더,(주)모바일리더,A100030,KR7100030006,1101111887491
1447,2022-06-24,KOSDAQ,삼강엠앤티,삼강엠앤티(주),A100090,KR7100090000,1913110003485
1448,2022-06-24,KOSDAQ,뷰웍스,(주)뷰웍스,A100120,KR7100120005,1101111775894
1449,2022-06-24,KOSDAQ,동국S&C,(주)동국에스엔씨,A100130,KR7100130004,1101112276784
1450,2022-06-24,KOSPI,비상교육,(주)비상교육,A100220,KR7100220003,1101112427098
1451,2022-06-24,KOSPI,진양홀딩스,(주)진양홀딩스,A100250,KR7100250000,1801110618091
1452,2022-06-24,KOSDAQ,머큐리,(주)머큐리,A100590,KR7100590009,1201110230277
1453,2022-06-24,KOSDAQ,서암기계공업,서암기계공업(주),A100660,KR7100660000,2042110000784
1454,2022-06-24,KOSDAQ,세운메디칼,(주)세운메디칼,A100700,KR7100700004,1101110324858
1455,2022-06-24,KOSDAQ,미래에셋벤처투자,미래에셋벤처투자 주식회사,A100790,KR7100790005,1101111710527
1456,2022-06-24,KOSPI,SNT에너지,SNT에너지(주),A100840,KR7100840008,1942110090598
1457,2022-06-24,KOSDAQ,상상인인더스트리,(주)상상인인더스트리,A101000,KR7101000008,1955110072268
1458,2022-06-24,KOSPI,인바이오젠,(주)인바이오젠,A101140,KR7101140002,1313110080427
1459,2022-06-24,KOSDAQ,월덱스,(주)월덱스,A101160,KR7101160000,1760110020723
1460,2022-06-24,KOSDAQ,우림피티에스,우림피티에스(주),A101170,KR7101170009,1942110039934
1461,2022-06-24,KOSDAQ,씨큐브,씨큐브(주),A101240,KR7101240000,1543110010576
1462,2022-06-24,KOSDAQ,모베이스,(주)모베이스,A101330,KR7101330009,1101111665516
1463,2022-06-24,KOSDAQ,이엔드디,(주)이엔드디,A101360,KR7101360006,1101113085598
1464,2022-06-24,KOSDAQ,아이엠,(주)아이엠,A101390,KR7101390003,1358110122283
1465,2022-06-24,KOSDAQ,엔시트론,엔시트론(주),A101400,KR7101400000,1101111930787
1466,2022-06-24,KOSDAQ,에스앤에스텍,(주)에스앤에스텍,A101490,KR7101490001,1311110057925
1467,2022-06-24,KOSPI,해태제과식품,해태제과식품주식회사,A101530,KR7101530004,1615110044225
1468,2022-06-24,KOSDAQ,코리아에스이,(주)코리아에스이,A101670,KR7101670008,1101111125289
1469,2022-06-24,KOSDAQ,한국정밀기계,한국정밀기계(주),A101680,KR7101680007,1943110006189
1470,2022-06-24,KOSDAQ,위메이드맥스,(주)위메이드맥스,A101730,KR7101730000,1101111401051
1471,2022-06-24,KOSDAQ,인화정공,인화정공(주),A101930,KR7101930006,1942110032988
1472,2022-06-24,KOSDAQ,어보브반도체,어보브반도체(주),A102120,KR7102120003,1501110093926
1473,2022-06-24,KOSPI,동성케미컬,(주)동성케미컬,A102260,KR7102260007,1801110633031
1474,2022-06-24,KOSPI,쌍방울,(주)쌍방울,A102280,KR7102280005,1101113891169
1475,2022-06-24,KOSDAQ,케이옥션,(주)케이옥션,A102370,KR7102370004,1101113306861
1476,2022-06-24,KOSPI,이연제약,이연제약(주),A102460,KR7102460003,1101110048143
1477,2022-06-24,KOSDAQ,이엔에프테크놀로지,(주)이엔에프테크놀로지,A102710,KR7102710001,1101111957195
1478,2022-06-24,KOSDAQ,코오롱생명과학,코오롱생명과학(주),A102940,KR7102940004,1101111948277
1479,2022-06-24,KOSPI,풍산,(주)풍산,A103140,KR7103140000,1313110083497
1480,2022-06-24,KOSDAQ,에스앤더블류,(주)에스앤더블류,A103230,KR7103230009,1801110095637
1481,2022-06-24,KOSPI,일진전기,일진전기(주),A103590,KR7103590006,1348110159279
1482,2022-06-24,KONEX,씨앗,(주)씨앗,A103660,KR7103660007,1101113438507
1483,2022-06-24,KOSDAQ,우양,(주)우양,A103840,KR7103840005,1644110000820
1484,2022-06-24,KOSDAQ,대성파인텍,(주)대성파인텍,A104040,KR7104040001,1901110037223
1485,2022-06-24,KOSDAQ,NHN벅스,(주)엔에이치엔벅스,A104200,KR7104200001,1101112539322
