,year,metro,id,sex,old_h,grand_h,single_h,multi_h,age,number,education,marriage,asset,debt,income,income_d,industry,job,house,education_year
1182,2021,G2,50000312,1,G1,G2,G2,G2,69,2,7,2,46300,0,4337,2594,A,6,1,16
1183,2021,G2,50000332,1,G1,G2,G2,G2,70,1,3,3,32300,2500,1345,1211,,,1,6
1184,2021,G2,50000342,1,G2,G2,G2,G2,66,2,3,2,44942,1100,4658,4314,O,9,1,6
1185,2021,G2,50000382,2,G2,G2,G2,G2,50,4,5,2,17300,14500,14028,11511,Q,2,1,12
1186,2021,G2,50000392,1,G2,G2,G2,G2,54,3,5,2,138231,6300,15889,12868,C,2,1,12
1187,2021,G2,50100212,2,G1,G2,G2,G2,78,1,1,3,13180,1200,1081,1029,,,1,0
1188,2021,G2,50100232,1,G1,G2,G2,G2,67,2,3,2,6950,75,1096,982,,,1,6
1189,2021,G2,50100242,1,G2,G2,G2,G2,57,2,4,2,12800,5500,3725,3219,G,9,1,9
1190,2021,G2,50100282,1,G1,G2,G2,G2,70,1,4,1,2300,0,1853,1830,S,7,3,9
1191,2021,G2,50100292,2,G2,G2,G2,G2,63,1,2,3,854,400,1014,1013,,,3,0
1192,2021,G2,50100322,1,G2,G2,G2,G1,50,2,4,2,26424,4630,8252,5971,F,8,1,9
1193,2021,G2,50100332,1,G1,G2,G2,G2,79,2,4,2,24550,0,2330,2181,,,1,9
1194,2021,G2,50100362,2,G2,G2,G2,G2,46,3,4,4,1700,0,3085,3072,I,4,3,9
1195,2021,G2,50100372,1,G2,G2,G2,G2,56,2,4,2,60044,1000,8013,7370,H,8,1,9
1196,2021,G2,50100392,1,G2,G2,G2,G2,29,1,5,1,6110,4637,4050,3196,C,8,3,12
1197,2021,G2,50700211,2,G1,G2,G2,G2,89,1,2,3,7900,0,840,831,,,1,0
1198,2021,G2,50700221,2,G1,G2,G2,G2,77,1,2,4,7160,30,1300,1210,,,3,0
1199,2021,G2,50700241,1,G2,G2,G2,G2,62,2,4,2,20600,0,2219,1899,H,8,3,9
1200,2021,G2,50700281,1,G2,G2,G2,G2,54,4,4,2,16769,0,8033,6825,F,7,1,9
1201,2021,G2,50700291,2,G2,G2,G2,G2,74,5,3,3,25975,300,8826,8047,,,2,6
1202,2021,G2,50700351,1,G2,G2,G2,G2,63,2,4,4,8690,0,2614,2377,F,9,1,9
1203,2021,G2,50700361,1,G2,G2,G2,G2,56,2,4,2,19276,1895,5900,5131,H,8,1,9
1204,2021,G2,50700371,1,G2,G2,G2,G2,52,5,6,2,25768,9550,8033,6648,S,3,1,14
1205,2021,G2,50800221,1,G2,G2,G2,G2,60,5,7,2,21744,5700,11020,9807,Q,2,1,16
1206,2021,G2,50800241,1,G2,G2,G2,G2,47,6,4,2,25754,5800,4375,4030,C,7,1,9
1207,2021,G2,50800251,1,G1,G2,G2,G2,73,2,3,2,17428,0,3364,3189,S,7,1,6
1208,2021,G2,50800271,1,G1,G2,G2,G2,81,2,2,2,94790,0,7509,6631,F,7,1,0
1209,2021,G2,50800281,2,G1,G2,G2,G2,87,1,1,4,12,0,828,827,,,5,0
1210,2021,G2,50800311,1,G2,G2,G2,G2,54,4,6,2,35540,0,6294,5359,G,5,1,14
1211,2021,G2,50800321,1,G2,G2,G2,G2,63,4,6,2,49186,0,22623,17047,H,8,1,14
1212,2021,G2,50800341,1,G2,G2,G2,G2,52,4,5,2,36970,6000,8986,6752,K,3,1,12
1213,2021,G2,50800371,1,G2,G2,G2,G2,31,1,6,1,5820,4036,2320,2035,I,9,2,14
1214,2021,G2,50800381,1,G2,G2,G2,G2,35,3,5,1,31261,0,14835,13501,C,8,1,12
1215,2021,G2,50900231,1,G2,G2,G2,G2,52,3,5,2,62375,18000,8911,7706,R,2,3,12
