종목코드,종목명,결산월,회계연도,자산총계,부채총계,자본총계,자본금,이익잉여금,매출액,영업이익,당기순이익,배당금,EPS,BPS,SPS,CEPS
A000660,SK하이닉스,12,2008,16576220269,11049980770,5526239499,2315654175,1356062982,6817984885,-1920120185,-4744724308,,-10273,11075,14840,-3956
A000660,SK하이닉스,12,2009,16303533398,10384254935,5919278463,2965833030,1005936494,7906350018,191969226,-332644097,,-620,9247,14096,4391
A000660,SK하이닉스,12,2010,17584251000,9414758000,8169493000,2969023000,3653825000,12098667000,3273089000,2656476000,,4487,13841,20502,9293
A000660,SK하이닉스,12,2011,17238148000,9362877000,7875271000,2978498000,3555323000,10395811000,105219000,-55971000,-88541000,-96,13300,17572,5765
A000660,SK하이닉스,12,2012,18648693000,8909251000,9739442000,3488419000,3313265000,10162210000,-227349000,-158795000,,-233,14032,14904,4465
A000660,SK하이닉스,12,2013,20797298000,7730439000,13066859000,3568645000,6201322000,14165102000,3379785000,2872857000,,4099,18399,20212,8492
A000660,SK하이닉스,12,2014,26883278000,8846975000,18036303000,3657652000,10276904000,17125566000,5109466000,4195169000,,5842,24775,23848,10638
A000660,SK하이닉스,12,2015,29677906000,8290203000,21387703000,3657652000,14358988000,18797998000,5336100000,4323595000,-218401000,5937,30293,25821,11369
A000660,SK하이닉스,12,2016,32216026000,8192496000,24023530000,3657652000,17066583000,17197975000,3276746000,2960483000,-353001000,4057,34018,23624,10188
A000660,SK하이닉스,12,2017,45418464000,11597545000,33820919000,3657652000,27287256000,30109434000,13721326000,10642219000,-423601000,14617,47897,41359,21523
A000660,SK하이닉스,12,2018,63658335000,16806004000,46852331000,3657652000,42033601000,40445066000,20843750000,15539984000,-706002000,21346,68488,55556,30176
A000660,SK하이닉스,12,2019,64789494000,16846299000,47943195000,3657652000,42930675000,26990733000,2712718000,2016391000,-1026003000,2765,70071,37075,14519
A000660,SK하이닉스,12,2020,71173853000,19264756000,51909097000,3657652000,46995728000,31900418000,5012624000,4758914000,-684002000,6532,75860,43819,19960
A000660,SK하이닉스,12,2021,96386474000,34195416000,62191058000,3657652000,55784068000,42997792000,12410340000,9616188000,-805024000,13190,90394,59063,27850
A000660,SK하이닉스,12,2022,1.03872E+11,40580970000,63290542000,3657652000,56685260000,44621568000,6809417000,2241669000,-1680905000,3063,92004,61293,22518
A000660,SK하이닉스,12,2023,1.0033E+11,46826413000,53503752000,3657652000,46729313000,32765719000,-7730313000,-9137547000,-825575000,-12517,77752,45008,6231
A000660,SK하이닉스,12,2024,1.19855E+11,45939505000,73915704000,3657652000,65418061000,66192960000,23467319000,19796902000,-826323000,27182,107256,90924,44476
A000660,SK하이닉스,12,2025,1.76108E+11,55440908000,1.20667E+11,3657652000,1.06577E+11,97146675000,47206319000,42947902000,-1681166000,58955,171751,133443,78129
A402340,SK스퀘어,12,2000,,,,,,,,,,,,,
A402340,SK스퀘어,12,2001,,,,,,,,,,,,,
A402340,SK스퀘어,12,2002,,,,,,,,,,,,,
A402340,SK스퀘어,12,2003,,,,,,,,,,,,,
A402340,SK스퀘어,12,2004,,,,,,,,,,,,,
A402340,SK스퀘어,12,2005,,,,,,,,,,,,,
A402340,SK스퀘어,12,2006,,,,,,,,,,,,,
A402340,SK스퀘어,12,2007,,,,,,,,,,,,,
A402340,SK스퀘어,12,2008,,,,,,,,,,,,,
A402340,SK스퀘어,12,2009,,,,,,,,,,,,,
A402340,SK스퀘어,12,2010,,,,,,,,,,,,,
A402340,SK스퀘어,12,2011,,,,,,,,,,,,,
A402340,SK스퀘어,12,2012,,,,,,,,,,,,,
A402340,SK스퀘어,12,2013,,,,,,,,,,,,,
A402340,SK스퀘어,12,2014,,,,,,,,,,,,,
A402340,SK스퀘어,12,2015,,,,,,,,,,,,,
A402340,SK스퀘어,12,2016,,,,,,,,,,,,,
A402340,SK스퀘어,12,2017,,,,,,,,,,,,,
A402340,SK스퀘어,12,2018,,,,,,,,,,,,,
A402340,SK스퀘어,12,2019,,,,,,,,,,,,,
A402340,SK스퀘어,12,2020,,,,,,,,,,,,,
A402340,SK스퀘어,12,2021,22639140000,5783846000,16855294000,14147000,368760000,1146414000,419791000,363156000,,16134,117868,49298,18338
A402340,SK스퀘어,12,2022,22160583000,4997383000,17163200000,14147000,758809000,4510691000,162763000,256107000,-8203000,1836,118972,31885,4458
A402340,SK스퀘어,12,2023,17970008000,2153491000,15816517000,14147000,320369000,2278455000,-2339698000,-1314834000,-38024000,-9137,112264,16175,-8316
A402340,SK스퀘어,12,2024,21921051000,2335636000,19585415000,14147000,3908275000,6138471000,3912583000,3650515000,-2388000,27346,142904,45198,27642
A402340,SK스퀘어,12,2025,30504546000,2521383000,27983163000,14147000,12513997000,10455553000,8797421000,8818695000,-1800000,66468,209564,78756,67051
A009150,삼성전기,12,2000,4031739256,2387190546,1644548710,388003400,182744919,4326579860,505680169,352068888,-483825,4430,20992,55789,8329
A009150,삼성전기,12,2001,3738850808,1975851290,1762999518,388003400,256008586,3479447976,211389035,119793995,-97761891,1456,22454,44838,5664
A009150,삼성전기,12,2002,3591469175,1683870091,1907599084,388003400,406331541,3903291680,257602456,218172898,-39264981,2685,24245,50300,6452
A009150,삼성전기,12,2003,3294297371,1573543306,1720754065,388003400,185598609,3469824395,71525013,-211766862,-71576230,-2821,21802,44714,956
A009150,삼성전기,12,2004,2992639758,1310526244,1682113514,388003400,279708384,3528188370,90583380,104208954,-10581192,1225,21339,45466,4820
A009150,삼성전기,12,2005,3125740176,1421251286,1704488890,388003400,175944993,2914832554,-42598156,-67824319,-45350581,-866,21736,37562,3253
A009150,삼성전기,12,2006,3368590016,1548902814,1819687202,388003400,273875123,3177207160,122812174,105633380,-3679779,1262,23174,40943,4950
A009150,삼성전기,12,2007,3654960052,1649180230,2005779823,388003400,348037824,3518954997,168274060,123514064,-43754748,1455,25571,45347,5665
A009150,삼성전기,12,2008,3837400264,1833208663,2004191601,388003400,355819424,4284469417,136952369,54095776,-49413761,619,25448,55212,5088
A009150,삼성전기,12,2009,5562944617,2768430544,2794514073,388003400,614953910,5550514688,464998078,318568750,-23813026,3589,33343,71527,8966
A009150,삼성전기,12,2010,6835957517,3033117963,3802839555,388003400,1276052151,6968879659,734650116,666715740,-68146079,7148,44887,89804,15284
A009150,삼성전기,12,2011,7328861760,3453073973,3875787787,388003400,1528942691,6031842092,277814868.4,392381738.4,-87908728.01,4503,45275,77729,13608
A009150,삼성전기,12,2012,6891464351,2925816316,3965648035,388003400,1864658062,7912829681,580476505.1,452006134.6,-58246005.86,5680,50232,101969,12511
